in,side,subside,color,area,margin,overlap,type,filename
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0011.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0017.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0012.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0022.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0005.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0002.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0004.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0021.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0009.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0020.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0006.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0010.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0007.jpg
in6,margin,HW,black,area20,lowerMargin,NA,none,in6_margin_black_area20_none_scale0018.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0008.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0019.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0014.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0016.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0015.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0013.jpg
in6,margin,HW,yellow,area20,lowerMargin,NA,none,in6_margin_yellow_area20_none_scale0001.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0013.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0008.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0018.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0019.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0004.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0005.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0017.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0003.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0016.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0002.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0001.jpg
in6,margin,FW,black,area18,sideMargin,NA,none,in6_margin_black_area18_none_scale0021.jpg
